Age,Rate,Future,UpperTop,UpperBottom,LowerTop,LowerBottom
-90,1.227,,,,,
-89,1.2256,,,,,
-88,1.226,,,,,
-87,1.2364,,,,,
-86,1.2508,,,,,
-85,1.256,,,,,
-84,1.2568,,,,,
-83,1.2651,,,,,
-82,1.2433,,,,,
-81,1.2408,,,,,
-80,1.2446,,,,,
-79,1.2442,,,,,
-78,1.2472,,,,,
-77,1.2535,,,,,
-76,1.252,,,,,
-75,1.2532,,,,,
-74,1.2639,,,,,
-73,1.2569,,,,,
-72,1.256,,,,,
-71,1.2696,,,,,
-70,1.2592,,,,,
-69,1.2543,,,,,
-68,1.2474,,,,,
-67,1.2443,,,,,
-66,1.2451,,,,,
-65,1.2632,,,,,
-64,1.2436,,,,,
-63,1.2541,,,,,
-62,1.2442,,,,,
-61,1.2411,,,,,
-60,1.2386,,,,,
-59,1.2396,,,,,
-58,1.229,,,,,
-57,1.2337,,,,,
-56,1.2361,,,,,
-55,1.2462,,,,,
-54,1.2517,,,,,
-53,1.2563,,,,,
-52,1.2497,,,,,
-51,1.2516,,,,,
-50,1.2546,,,,,
-49,1.2652,,,,,
-48,1.2726,,,,,
-47,1.2749,,,,,
-46,1.2643,,,,,
-45,1.2668,,,,,
-44,1.2682,,,,,
-43,1.2722,,,,,
-42,1.2816,,,,,
-41,1.2882,,,,,
-40,1.2906,,,,,
-39,1.2925,,,,,
-38,1.2912,,,,,
-37,1.2982,,,,,
-36,1.2962,,,,,
-35,1.2956,,,,,
-34,1.308,,,,,
-33,1.3096,,,,,
-32,1.3123,,,,,
-31,1.3205,,,,,
-30,1.3209,,,,,
-29,1.3236,,,,,
-28,1.3158,,,,,
-27,1.3177,,,,,
-26,1.3174,,,,,
-25,1.3146,,,,,
-24,1.3105,,,,,
-23,1.3183,,,,,
-22,1.3129,,,,,
-21,1.307,,,,,
-20,1.3059,,,,,
-19,1.3091,,,,,
-18,1.2996,,,,,
-17,1.3041,,,,,
-16,1.307,,,,,
-15,1.3102,,,,,
-14,1.3067,,,,,
-13,1.3054,,,,,
-12,1.3034,,,,,
-11,1.3067,,,,,
-10,1.3052,,,,,
-9,1.3036,,,,,
-8,1.3108,,,,,
-7,1.3214,,,,,
-6,1.3279,,,,,
-5,1.3356,,,,,
-4,1.331,,,,,
-3,1.3253,,,,,
-2,1.3278,,,,,
-1,1.3313,,,,,
0,1.3192,1.3192,1.3192,1.3192,1.3192,1.3192
1,,1.320224,1.320884112,1.320488045,1.319959955,1.319563888
2,,1.321248,1.322569248,1.321776499,1.320719501,1.319926752
3,,1.322272,1.324255408,1.323065363,1.321478637,1.320288592
4,,1.323296,1.325942592,1.324354637,1.322237363,1.320649408
5,,1.32432,1.3276308,1.32564432,1.32299568,1.3210092
6,,1.325344,1.329320032,1.326934413,1.323753587,1.321367968
7,,1.326368,1.331010288,1.328224915,1.324511085,1.321725712
8,,1.327392,1.332701568,1.329515827,1.325268173,1.322082432
9,,1.328416,1.334393872,1.330807149,1.326024851,1.322438128
10,,1.32944,1.3360872,1.33209888,1.32678112,1.3227928
11,,1.330464,1.337781552,1.333391021,1.327536979,1.323146448
12,,1.331488,1.339476928,1.334683571,1.328292429,1.323499072
13,,1.332512,1.341173328,1.335976531,1.329047469,1.323850672
14,,1.333536,1.342870752,1.337269901,1.329802099,1.324201248
15,,1.33456,1.3445692,1.33856368,1.33055632,1.3245508
16,,1.335584,1.346268672,1.339857869,1.331310131,1.324899328
17,,1.336608,1.347969168,1.341152467,1.332063533,1.325246832
18,,1.337632,1.349670688,1.342447475,1.332816525,1.325593312
19,,1.338656,1.351373232,1.343742893,1.333569107,1.325938768
20,,1.33968,1.3530768,1.34503872,1.33432128,1.3262832
